Airport,Adjacent_Airport,id,Adjacent_id,Distance
BHM,JAN,9,43,0
BHM,JAX,9,44,364.633969242705
BHM,JFK,9,45,0
BHM,LAS,9,46,1614.50966637246
BHM,LAX,9,47,0
BHM,LBB,9,48,0
BHM,MBS,9,49,0
BHM,MCI,9,50,0
BHM,MCO,9,51,479.217396432402
BHM,MDW,9,52,570.803945220885
BHM,MEM,9,53,210.456205477063
BHM,MIA,9,54,662.018110641542
BHM,MKE,9,55,0
BHM,MLI,9,56,0
BHM,MSP,9,57,854.622009533385
BHM,MSY,9,58,321.208984230521
BHM,MYR,9,59,0
BHM,OAK,9,60,0
BHM,ONT,9,61,0
BHM,ORD,9,62,584.877569863768
BHM,ORF,9,63,0
BHM,PBI,9,64,0
BHM,PDX,9,65,0
BHM,PHF,9,66,0
BHM,PHL,9,67,771.396576364326
BHM,PHX,9,68,1451.79572727569
BHM,PIT,9,69,0
BHM,PWM,9,70,0
BHM,RDU,9,71,0
BHM,RFD,9,72,0
BHM,RIC,9,73,0
BHM,RNO,9,74,0
BHM,ROC,9,75,0
BHM,RST,9,76,0
BHM,RSW,9,77,0
BHM,SAN,9,78,0
BHM,SAT,9,79,0
BHM,SAV,9,80,0
BHM,SDF,9,81,0
BHM,SEA,9,82,0
BHM,SFB,9,83,0
BHM,SFO,9,84,0
BHM,SJC,9,85,0
BHM,SLC,9,86,0
BHM,SMF,9,87,0
BHM,SRQ,9,88,0
BHM,STL,9,89,411.132861552273
BHM,SYR,9,90,0
BHM,TPA,9,91,460.137545156589
BHM,TUL,9,92,0
BHM,TUS,9,93,0
BIL,ABQ,10,1,0
BIL,AMA,10,2,0
BIL,ANC,10,3,0
BIL,ATL,10,4,0
BIL,AUS,10,5,0
BIL,BDL,10,6,0
BIL,BFI,10,7,0
BIL,BGR,10,8,0
BIL,BHM,10,9,0
BIL,BIL,10,10,0
BIL,BNA,10,11,0
BIL,BOS,10,12,0
BIL,BUF,10,13,0
BIL,BWI,10,14,0
BIL,CHS,10,15,0
BIL,CLE,10,16,0
BIL,CLT,10,17,0
BIL,CMH,10,18,0
BIL,CPR,10,19,0
BIL,CRP,10,20,0
BIL,CVG,10,21,0
BIL,DAY,10,22,0
BIL,DEN,10,23,455.109102974607
BIL,DFW,10,24,0
BIL,DLH,10,25,0
BIL,DSM,10,26,0
BIL,ERI,10,27,0
BIL,EWR,10,28,0
BIL,FAI,10,29,0
BIL,FLL,10,30,0
BIL,FWA,10,31,0
BIL,GEG,10,32,0
BIL,GPT,10,33,0
BIL,GRB,10,34,0
BIL,GSO,10,35,0
BIL,GSP,10,36,0
BIL,HNL,10,37,0
BIL,HSV,10,38,0
BIL,IAD,10,39,0
BIL,IAH,10,40,0
BIL,ICT,10,41,0
BIL,IND,10,42,0
BIL,JAN,10,43,0
BIL,JAX,10,44,0
BIL,JFK,10,45,0
BIL,LAS,10,46,754.842332411745
BIL,LAX,10,47,0
BIL,LBB,10,48,0
BIL,MBS,10,49,0
BIL,MCI,10,50,0
BIL,MCO,10,51,0
BIL,MDW,10,52,0
BIL,MEM,10,53,0
BIL,MIA,10,54,0
BIL,MKE,10,55,0
BIL,MLI,10,56,0
BIL,MSP,10,57,745.655281645832
BIL,MSY,10,58,0
BIL,MYR,10,59,0
BIL,OAK,10,60,897.390094245096
BIL,ONT,10,61,0
BIL,ORD,10,62,0
BIL,ORF,10,63,0
BIL,PBI,10,64,0
BIL,PDX,10,65,677.593404768776
BIL,PHF,10,66,0
BIL,PHL,10,67,0
BIL,PHX,10,68,0
BIL,PIT,10,69,0
BIL,PWM,10,70,0
BIL,RDU,10,71,0
BIL,RFD,10,72,0
BIL,RIC,10,73,0
BIL,RNO,10,74,0
BIL,ROC,10,75,0
BIL,RST,10,76,0
BIL,RSW,10,77,0
BIL,SAN,10,78,0
BIL,SAT,10,79,0
BIL,SAV,10,80,0
